Treatments,Time,PC_OD,PJ_OD,BV_OD,BF_OD,BO_OD,BT_OD,BC_OD,BY_OD,BU_OD,DP_OD,BL_OD,BA_OD,BP_OD,CA_OD,EL_OD,FP_OD,CH_OD,AC_OD,BH_OD,CG_OD,ER_OD,RI_OD,CC_OD,DL_OD,DF_OD,Butyrate,Acetate,Lactate,Succinate
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-CH-DF-DL-EL-ER-FP-PC-PJ-RI,48.0,0.0194781671152542,0.0143933875106099,0.0210861200508764,0.1961969450195456,0.1241112739005294,0.2449862347812242,0.2423038415449833,0.0557811400821448,0.0389695356617487,0.0,0.0087575003385017,0.0781292881346501,0.2467108169803653,0.058040586449711,0.0115870890955209,0.0009463124791265,0.0422201527929338,0.3849093897104251,0.0008161624879432,0.0243078857256838,0.0538022976374395,0.0015861190495197,0.132213123148165,0.326969247654413,0.0999077393594916,22.37741,33.559180000000005,25.16347,16.632250000000003
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-CH-DF-DP-EL-ER-FP-PC-PJ-RI,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0002749999999999,0.0,0.0,28.0,0.0
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-CH-DF-DP-EL-ER-FP-PC-PJ-RI,48.0,0.0200000713101584,0.021147973098046,0.0232305728629333,0.2452198152025181,0.1848037046164814,0.3066242267442604,0.2824280869399819,0.0559638885731083,0.0465348304155835,0.005597152525431,0.0067030502868877,0.0609148337442806,0.3106869375520271,0.0202404595109244,0.0070380604132895,0.0006354617001006,0.0396346916445096,0.2581510102859269,0.0003707793943184,0.0365403667776927,0.0498947871003326,3.0321104665413848e-05,0.2217204400999639,0.0,0.0938482262950361,13.509566666666666,36.8753,41.16303333333333,15.055583333333333
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-CH-DL-DP-EL-ER-FP-PC-PJ-RI,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0,0.0,28.0,0.0
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-CH-DL-DP-EL-ER-FP-PC-PJ-RI,48.0,0.0159396890939302,0.0224581361434732,0.0160941091898034,0.2407594054670244,0.1797201672211943,0.3008494403876797,0.2705231311929377,0.0507116471547378,0.0451671150528689,0.0071799301226973,0.0082980352816344,0.0736195959148613,0.4119584344455915,0.0243030503418637,0.0039545695848596,0.0006907625881781,0.0234432637456716,0.2014207933880369,0.0005651349054092,0.033977452924024,0.0452409921692009,0.0,0.2168689722240231,0.1327566900388415,0.0,11.177566666666666,39.62113333333333,44.0104,14.786883333333334
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-DF-DL-DP-EL-ER-FP-PC-PJ-RI,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0,28.0,0.0
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-DF-DL-DP-EL-ER-FP-PC-PJ-RI,48.0,0.0075631792016688,0.0215969700430986,0.0136953041741891,0.2153113604630485,0.0916955910011048,0.2725186225369597,0.1774009528167329,0.0342930454374136,0.0168375987774487,0.0066058161171596,0.0096584253658965,0.1063700857504366,0.5191859869027619,0.0108051470079886,0.0059337330553442,0.0006079856930014,0.0,0.2417033517057229,0.0008642577661558,0.0363111734884162,0.0363577504386882,4.792232152712147e-05,0.2737186182120805,0.1492895273425365,0.0901534025520932,11.3061,38.00911666666666,44.69018333333333,9.804583333333332
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CH-DF-DL-DP-EL-ER-FP-PC-PJ-RI,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0,28.0,0.0
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CH-DF-DL-DP-EL-ER-FP-PC-PJ-RI,48.0,0.0179133475989494,0.0214427860366836,0.0193651776529602,0.2484111404325833,0.1955980803664447,0.3004968498995751,0.250561270454805,0.05339848353073,0.0433966569867341,0.0065920731065423,0.0085351465583886,0.0608503371087868,0.3542883315328373,0.0131509376393985,0.0086253281733392,0.0002393686720476,0.0403398672979856,0.2167628383313045,0.0010601245663926,0.0,0.0479389831390053,0.0,0.1674368481876849,0.094929837238925,0.0710453225700895,10.9679,38.86513333333333,46.66688333333334,15.980833333333331
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CG-CH-DF-DL-DP-EL-ER-FP-PC-PJ-RI,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0002749999999999,0.0002749999999999,0.0,0.0,28.0,0.0
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CG-CH-DF-DL-DP-EL-ER-FP-PC-PJ-RI,48.0,0.0204187498771965,0.0196315827246711,0.0235122263852548,0.2469513639438196,0.1718102287700502,0.2984808016532024,0.2536659885213571,0.049010216485177,0.0448223555092008,0.0058237105010747,0.007064638446158,0.0697574154798494,0.3362064269440402,0.0256732657381398,0.0073229974124107,0.0009822277834763,0.0395868537920361,0.2081632489188414,0.0003617546495892,0.0382959912633633,0.0393529370694799,8.4634581105364e-05,0.0,0.184073543181237,0.0927352465175194,10.1302,39.82443333333333,44.33298333333334,15.9228
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CC-CG-CH-DF-DL-DP-EL-ER-FP-PC-PJ-RI,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0,28.0,0.0
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CC-CG-CH-DF-DL-DP-EL-ER-FP-PC-PJ-RI,48.0,0.0176749600752709,0.0228496508289066,0.0229947871089013,0.2208466925415434,0.1852303274126426,0.2861015315849651,0.2716234858627126,0.044968063524442,0.0469334813496725,0.0052167030603014,0.0083246853034509,0.0753368751896272,0.3822476688915264,0.0,0.0082067457016581,0.0011561712908787,0.0476507826855261,0.1966819807825232,0.0010518497661523,0.0372808392556363,0.0498223924471173,0.0006557471395367,0.2022386303449662,0.1246775308835939,0.0930557164065934,12.137166666666667,40.947,48.4604,15.04585
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-CA-CC-CG-CH-DF-DL-DP-EL-ER-FP-PC-PJ-RI,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0,28.0,0.0
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-CA-CC-CG-CH-DF-DL-DP-EL-ER-FP-PC-PJ-RI,48.0,0.014083452727704,0.0220963592153021,0.0219340099888173,0.2401128532330261,0.1796599508732813,0.3238553397082344,0.2792415757661242,0.0,0.0440058873245471,0.0053000210720379,0.0070582820038446,0.0647231429255213,0.2867361673851032,0.017041298482954,0.0061758345860931,0.0005086505055813,0.023453898019918,0.2321143568547344,0.0007361476107953,0.0315699118794419,0.0407716107589418,6.170868347347884e-05,0.1875098354220745,0.1086553056370864,0.0817256394501086,13.348583333333332,38.615316666666665,43.2922,14.61523333333333
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BY-CA-CC-CG-CH-DF-DL-DP-EL-ER-FP-PC-PJ-RI,0.0,0.0002749999999999,0.0002749999999999,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0,28.0,0.0
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BY-CA-CC-CG-CH-DF-DL-DP-EL-ER-FP-PC-PJ-RI,48.0,0.0104150421450065,0.0179418162144333,0.0,0.2394935763456009,0.16367641629512,0.3168966233539551,0.2613954598323698,0.0481123232477988,0.0353571675104946,0.0050056158455832,0.0054916587996387,0.0569733881377406,0.2476712725226677,0.018156472359443,0.0066981826398738,0.0002683074127082,0.0241007164664822,0.2485023139952121,0.0003127749400079,0.0281619850105943,0.0373009262571012,0.0,0.1703625736409794,0.0980214752302156,0.0771510787324877,13.891483333333332,38.079816666666666,43.681983333333335,12.888533333333331
AC-BA-BC-BF-BH-BL-BO-BP-BT-BV-BY-CA-CC-CG-CH-DF-DL-DP-EL-ER-FP-PC-PJ-RI,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0,28.0,0.0
