Treatments,Time,Sulfate,Lactate,Glucose,FP_abs,DP_abs,Sulfide
DP_6,18.66,1.0,0.0,1.0,0.0,0.0933333331346512,0.046684599433575
DP_6,36.58,1.0,0.0,1.0,0.0,0.164803773078427,0.0312011050138125
DP_7,0.0,1.0,1.0,0.0,0.0,0.01,0.0
DP_7,6.97,1.0,1.0,0.0,1.2104150529146e-05,0.050187895658736,0.0462468610129183
DP_7,10.28,1.0,1.0,0.0,0.0,0.19593333641688,0.169064587204605
DP_7,18.66,1.0,1.0,0.0,9.42607412588365e-05,0.249772417973493,0.254208020555442
DP_7,36.58,1.0,1.0,0.0,0.0002170867030751,0.316449570426848,0.028350911357165
DP_8,0.0,1.0,1.0,1.0,0.0,0.01,0.0
DP_8,6.97,1.0,1.0,1.0,3.53077398246763e-05,0.0673646951370929,0.04397884431028
DP_8,10.28,1.0,1.0,1.0,4.78664215656439e-05,0.264818807922179,0.236491009124375
DP_8,18.66,1.0,1.0,1.0,0.0001313051097817,0.281935352433401,0.29167843016671
DP_8,36.58,1.0,1.0,1.0,0.0,0.333266669909159,0.0169836697593325
DP_9,0.0,0.5,0.5,0.5,0.0,0.01,0.0
DP_9,6.97,0.5,0.5,0.5,9.21332481311282e-06,0.0501241186892707,0.04032429374804
DP_9,10.28,0.5,0.5,0.5,3.49844426280376e-05,0.12916501155194,0.0862072502264925
DP_9,18.66,0.5,0.5,0.5,6.86437336999751e-05,0.197398022170027,0.132822123240805
DP_9,36.58,0.5,0.5,0.5,0.0,0.165670009406425,0.0
FP_1,0.0,0.0,0.0,0.0,0.01,0.0,0.0
FP_1,6.97,0.0,0.0,0.0,0.025846692123995,5.06592678564779e-08,0.0
FP_1,10.28,0.0,0.0,0.0,0.0179118140736699,2.15217272957426e-05,0.0
FP_1,18.66,0.0,0.0,0.0,0.0310544468522983,1.22235654873881e-05,0.0
FP_1,36.58,0.0,0.0,0.0,0.0810666674375534,0.0,0.0
FP_10,0.0,0.66,0.66,0.66,0.01,0.0,0.0
FP_10,6.97,0.66,0.66,0.66,0.000732706802715,3.66728568515059e-07,0.0
FP_10,10.28,0.66,0.66,0.66,0.020834504401862,8.99332234766153e-06,0.0
FP_10,18.66,0.66,0.66,0.66,0.0265207813566093,0.0,0.0
FP_10,36.58,0.66,0.66,0.66,0.0763331398747519,6.73972575087526e-05,0.0
FP_2,0.0,0.0,0.0,1.0,0.01,0.0,0.0
FP_2,6.97,0.0,0.0,1.0,0.0044619013540187,3.42820701896378e-06,0.0
FP_2,10.28,0.0,0.0,1.0,0.0238574034414109,9.26430608661038e-06,0.0
FP_2,18.66,0.0,0.0,1.0,0.0331700190432801,2.99810838764474e-05,0.0
FP_2,36.58,0.0,0.0,1.0,0.0789867964712694,0.0,0.0
FP_3,0.0,0.0,1.0,0.0,0.01,0.0,0.0
FP_3,6.97,0.0,1.0,0.0,0.0,0.0,0.0
FP_3,10.28,0.0,1.0,0.0,0.0052000005046526,0.0,0.0
FP_3,18.66,0.0,1.0,0.0,0.0255274521846438,5.88064006322336e-06,0.0
FP_3,36.58,0.0,1.0,0.0,0.0497018631750938,9.27403846742173e-06,0.0
FP_4,0.0,0.0,1.0,1.0,0.01,0.0,0.0
FP_4,6.97,0.0,1.0,1.0,0.0007999095090809,9.35029403914796e-08,0.0
FP_4,10.28,0.0,1.0,1.0,0.0313912960229258,8.70095313192007e-06,0.0
FP_4,18.66,0.0,1.0,1.0,0.0215790101145094,2.09923332546503e-05,0.0
FP_4,36.58,0.0,1.0,1.0,0.063506777495386,0.0,0.0
FP_5,0.0,1.0,0.0,0.0,0.01,0.0,0.0
FP_5,6.97,1.0,0.0,0.0,0.001865332415074,1.3354516327963e-06,0.0
FP_5,10.28,1.0,0.0,0.0,0.0188570233515363,4.82209863957394e-06,0.0
FP_5,18.66,1.0,0.0,0.0,0.0237031277931968,3.02093309919707e-05,0.0
FP_5,36.58,1.0,0.0,0.0,0.0857522307110555,0.0,0.0
FP_6,0.0,1.0,0.0,1.0,0.01,0.0,0.0
FP_6,6.97,1.0,0.0,1.0,0.0058600278973095,5.67055563389211e-06,0.0
FP_6,10.28,1.0,0.0,1.0,0.0233893701293042,1.06280189781373e-05,0.0
FP_6,18.66,1.0,0.0,1.0,0.0272659948505158,6.7338641763261e-05,0.0
FP_6,36.58,1.0,0.0,1.0,0.065066664814949,0.0,0.0
FP_7,0.0,1.0,1.0,0.0,0.01,0.0,0.0
FP_7,6.97,1.0,1.0,0.0,0.0,0.0,0.0
FP_7,10.28,1.0,1.0,0.0,0.017593982461414,6.01684717208183e-06,0.0
FP_7,18.66,1.0,1.0,0.0,0.0182484550987894,1.82072604483119e-05,0.0
FP_7,36.58,1.0,1.0,0.0,0.0730811997368472,0.0,0.0
FP_8,0.0,1.0,1.0,1.0,0.01,0.0,0.0
FP_8,6.97,1.0,1.0,1.0,0.0020666687687238,0.0,0.0
FP_8,10.28,1.0,1.0,1.0,0.0165916250322411,5.96471236257936e-06,0.0
FP_8,18.66,1.0,1.0,1.0,0.0197925017467852,7.49506635308501e-06,0.0
