Treatments,Time,BT,BV,CH,BU,CS,CA,DP,DSM,MS001,MS008,MS014
MS008-CH-CS-DP-BU-BV-BT-CA_0,12,0.757898165,0.04025007,0.095173116,0.390804236,0.020641437,0.012851251,0.031028266,0.0,0.0,0.421520121,0.0
MS008-CH-CS-DP-BU-BV-BT-CA_0,24,0.800436286,0.01822791,0.103362861,0.295722273,0.042306076,0.045323261,0.038906179,0.0,0.0,0.374215168,0.0
MS008-CH_0,0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0
MS008-CH_0,12,0.0,0.0,0.069382113,0.0,0.0,0.0,0.0,0.0,0.0,0.376451249,0.0
MS008-CH_0,24,0.0,0.0,0.053965483,0.0,0.0,0.0,0.0,0.0,0.0,0.296034513,0.0
MS008-CS_0,0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.0
MS008-CS_0,12,0.0,0.0,0.0,0.0,0.060791836,0.0,0.0,0.0,0.0,0.594708165,0.0
MS008-CS_0,24,0.0,0.0,0.0,0.0,0.050693956,0.0,0.0,0.0,0.0,0.388639395,0.0
MS008-DP_0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.0
MS008-DP_0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.061248992,0.0,0.0,0.511584334,0.0
MS008-DP_0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.123169043,0.0,0.0,0.422830942,0.0
MS014-BT_0,0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
MS014-BT_0,12,1.528466799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.702033289
MS014-BT_0,24,0.97007931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.762920677
MS014-BU_0,0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.005
MS014-BU_0,12,0.0,0.0,0.0,0.451022181,0.0,0.0,0.0,0.0,0.0,0.0,0.80247781
MS014-BU_0,24,0.0,0.0,0.0,0.407915805,0.0,0.0,0.0,0.0,0.0,0.0,0.692917518
MS014-BV_0,0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
MS014-BV_0,12,0.0,0.282982659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.028850709
MS014-BV_0,24,0.0,0.25296939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.637697285
MS014-CA_0,0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.005
MS014-CA_0,12,0.0,0.0,0.0,0.0,0.0,0.023126778,0.0,0.0,0.0,0.0,0.573706531
MS014-CA_0,24,0.0,0.0,0.0,0.0,0.0,0.020249187,0.0,0.0,0.0,0.0,0.407584143
MS014-CH-CS-DP-BU-BV-BT-CA_0,0,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.0,0.0,0.0,0.00125
